Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,28249.369141,28543.519531,28245.970703,28543.519531,28543.519531,1262732800
2020-01-03,28828.359375,28883.300781,28428.169922,28451.5,28451.5,1797904800
2020-01-06,28326.5,28367.869141,28054.289063,28226.189453,28226.189453,1793426600
2020-01-07,28352.679688,28473.080078,28264.070313,28322.060547,28322.060547,1302687200
2020-01-08,27999.580078,28198.609375,27857.730469,28087.919922,28087.919922,1709241600
2020-01-09,28367.650391,28561.0,28325.859375,28561.0,28561.0,1692786200
2020-01-10,28665.140625,28665.140625,28504.269531,28638.199219,28638.199219,1448401000
2020-01-13,28772.369141,28971.400391,28671.839844,28954.939453,28954.939453,1765055700
2020-01-14,29149.529297,29149.529297,28790.490234,28885.140625,28885.140625,1643504700
2020-01-15,28891.070313,28972.679688,28619.099609,28773.589844,28773.589844,1240120700
2020-01-16,28806.119141,28987.730469,28709.570313,28883.039063,28883.039063,1620926200
2020-01-17,28988.160156,29101.150391,28813.130859,29056.419922,29056.419922,1545082800
2020-01-20,29169.119141,29174.919922,28795.419922,28795.910156,28795.910156,1633383900
2020-01-21,28449.380859,28492.029297,27980.5,27985.330078,27985.330078,2236521700
2020-01-22,28116.5,28393.929688,27937.679688,28341.039063,28341.039063,1343288100
2020-01-23,28109.75,28133.029297,27706.369141,27909.119141,27909.119141,1753263000
2020-01-24,27935.419922,27977.630859,27774.5,27949.640625,27949.640625,612128700
2020-01-29,27101.539063,27333.300781,27101.539063,27160.630859,27160.630859,2203836100
2020-01-30,27030.609375,27134.550781,26330.050781,26449.130859,26449.130859,2223567800
2020-01-31,26757.609375,26818.839844,26295.490234,26312.630859,26312.630859,1874255200
2020-02-03,26189.609375,26512.580078,26145.589844,26356.980469,26356.980469,2421482700
2020-02-04,26491.660156,26730.259766,26491.660156,26675.980469,26675.980469,2500238100
2020-02-05,26869.320313,26926.119141,26641.919922,26786.740234,26786.740234,2498930800
2020-02-06,27174.529297,27608.220703,27029.490234,27493.699219,27493.699219,2249533900
2020-02-07,27356.279297,27410.580078,27224.119141,27404.269531,27404.269531,1464514700
2020-02-10,27092.150391,27314.640625,27044.880859,27241.339844,27241.339844,1612017900
2020-02-11,27514.25,27674.810547,27436.990234,27583.880859,27583.880859,1868625400
2020-02-12,27717.220703,27892.480469,27614.830078,27823.660156,27823.660156,1796561200
2020-02-13,27953.650391,27953.650391,27695.599609,27730.0,27730.0,1617010200
2020-02-14,27698.560547,27960.660156,27695.589844,27815.599609,27815.599609,1445335900
2020-02-17,27766.710938,28055.580078,27766.710938,27959.599609,27959.599609,1412999200
2020-02-18,27766.5,27771.300781,27496.25,27530.199219,27530.199219,1592221400
2020-02-19,27486.460938,27697.460938,27448.599609,27655.810547,27655.810547,1471538100
2020-02-20,27767.279297,27767.279297,27383.130859,27609.160156,27609.160156,1582073100
2020-02-21,27450.460938,27484.529297,27264.779297,27308.810547,27308.810547,1773613400
2020-02-24,27105.349609,27105.349609,26813.220703,26820.880859,26820.880859,2044657000
2020-02-25,26722.390625,26914.050781,26667.039063,26893.230469,26893.230469,1924042900
2020-02-26,26479.900391,26776.060547,26479.900391,26696.490234,26696.490234,2040000000
2020-02-27,26529.169922,26849.570313,26419.970703,26778.619141,26778.619141,2110369700
2020-02-28,26249.060547,26313.550781,25989.410156,26129.929688,26129.929688,3191426200
2020-03-02,26077.730469,26375.910156,26077.730469,26291.679688,26291.679688,2201535600
2020-03-03,26419.130859,26527.75,26233.390625,26284.820313,26284.820313,2136295000
2020-03-04,26321.560547,26372.480469,26038.390625,26222.070313,26222.070313,1957062400
2020-03-05,26348.160156,26805.580078,26315.359375,26767.869141,26767.869141,2522843200
2020-03-06,26397.779297,26408.800781,26084.230469,26146.669922,26146.669922,2646519300
2020-03-09,25134.019531,25321.279297,24948.380859,25040.460938,25040.460938,4677892400
2020-03-10,25285.679688,25578.609375,24978.970703,25392.509766,25392.509766,3225661100
2020-03-11,25459.960938,25493.230469,25140.380859,25231.609375,25231.609375,2627625600
2020-03-12,24657.669922,24657.669922,24117.939453,24309.070313,24309.070313,3748928400
2020-03-13,22519.320313,24184.480469,22519.320313,24032.910156,24032.910156,5495155700
2020-03-16,23317.810547,23631.529297,22842.25,23063.570313,23063.570313,4067029300
2020-03-17,23001.759766,23401.199219,22676.460938,23263.730469,23263.730469,3637973700
2020-03-18,23023.339844,23425.029297,22167.419922,22291.820313,22291.820313,4217153600
2020-03-19,22221.380859,22380.339844,21139.259766,21709.130859,21709.130859,5628397600
2020-03-20,22147.339844,22805.070313,22147.339844,22805.070313,22805.070313,4528187900
2020-03-23,21696.130859,21696.130859,21696.130859,21696.130859,21696.130859,0
2020-03-24,22497.570313,22753.009766,22383.25,22663.490234,22663.490234,3614066700
2020-03-25,23255.910156,23569.449219,23062.230469,23527.189453,23527.189453,3605374900
2020-03-26,23604.830078,23604.830078,23163.669922,23352.339844,23352.339844,2519508100
2020-03-27,23768.410156,23791.199219,23354.009766,23484.279297,23484.279297,2199674300
2020-03-30,23020.849609,23491.509766,22973.330078,23175.109375,23175.109375,2553435900
2020-03-31,23613.269531,23627.529297,23238.039063,23603.480469,23603.480469,2876326600
2020-04-01,23365.900391,23540.009766,22947.640625,23085.789063,23085.789063,2879977600
2020-04-02,22838.669922,23280.060547,22756.130859,23280.060547,23280.060547,2560937400
2020-04-03,23072.949219,23236.109375,23030.580078,23236.109375,23236.109375,1870630600
2020-04-06,23558.830078,23832.929688,23271.470703,23749.119141,23749.119141,1834036600
2020-04-07,24093.050781,24262.009766,23796.029297,24253.289063,24253.289063,2535034600
